"","security_freedom_1","security_freedom_2","security_freedom_3","security_freedom_4","security_freedom_5","security_freedom_6","security_freedom_7","institution_trust_5","gr_1","nar1_t","nar2_t","nar3_t","nar4_t","nar5_t","nar6_t","nar7_t","nar8_t"
"71",1,7,4,7,7,7,7,3,0,3,1,1,1,1,2.5,4,4.5
"72",4,3,4,4,5,5,5,5,1,6.5,6.5,5.5,6.5,4.5,6,6.5,4
"73",4,4,6,5,6,7,7,2,1,5,6.5,5.5,5.5,4.5,4.5,5,4
"74",7,7,7,7,7,7,7,1,1,1,5.5,2.5,3.5,1,2.5,4.5,2
"75",6,6,4,4,4,2,2,3,0,4,4,2,2,5.5,5,5.5,4
"76",5,5,5,5,5,4,5,6,0,2,4,6,4.5,7,6,5.5,6
"77",4,5,5,5,4,5,5,7,0,7,7,5.5,5.5,7,7,7,6
"78",7,6,6,7,7,7,7,4,0,4.5,4,5,4,4,4,4,4
"79",2,2,7,6,6,5,6,2,0,7,6,3.5,6.5,2,2,1,4.5
"80",7,7,7,7,7,7,7,6,0,4.5,5.5,1.5,4.5,3.5,4,5,5
"81",4,4,4,5,4,5,4,2,1,4,5.5,4.5,6,4.5,4.5,5.5,4.5
"82",4,3,1,1,1,3,5,1,0,6.5,6.5,5,3,5,4,3,4
"83",4,4,4,5,5,5,4,3,1,3.5,4,3.5,4,3.5,5,4,4
"84",4,4,4,2,5,5,5,3,1,4,4,2.5,3,3,4,2.5,3.5
"85",4,4,4,4,4,4,4,1,1,6.5,2.5,3,4.5,1,4,5.5,3
"86",5,5,3,6,6,6,6,3,0,6,6.5,6.5,6.5,5,4.5,6.5,5
"87",7,7,7,7,4,4,4,1,1,5.5,5.5,4,4.5,7,7,5.5,4
"88",4,4,5,5,4,5,3,6,0,4.5,4.5,4,4.5,4.5,4.5,4.5,4
"89",7,7,5,7,6,7,7,3,1,5,4.5,3,4.5,6,5.5,2.5,4
"90",5,3,4,5,2,4,6,4,0,4,5,3.5,6,6,7,6.5,5
"91",7,7,7,7,7,4,6,7,1,4,3.5,1,7,7,7,2.5,7
"92",4,5,4,6,2,2,6,5,1,4,3.5,1,4,6.5,7,7,7
"93",3,3,2,3,3,4,3,4,0,5,3,4.5,6,4.5,4.5,5,4
"94",7,7,7,7,7,7,7,4,0,3.5,4,3.5,3,1,1,3.5,3
"95",2,1,1,3,2,4,6,7,0,2,1,1.5,1.5,6.5,7,5,7
"96",7,7,7,7,7,7,7,6,1,5,3,4,3.5,4.5,5,4,4.5
"97",3,6,6,5,6,6,7,4,0,5,4,3.5,6.5,3.5,2.5,5,2.5
"98",5,4,3,4,6,6,6,2,0,4,5,5.5,4,4,3,2,5
"99",1,7,1,7,7,7,7,5,0,3.5,6,2.5,7,3.5,5,7,3
"100",5,5,4,5,4,4,4,6,1,4,5,5,4,5.5,6,6,5
"101",2,6,3,4,2,5,4,6,0,1.5,1,5.5,4,4.5,2.5,4,4
"102",7,7,7,1,7,7,7,7,1,7,7,7,7,7,7,7,7
"103",4,4,3,5,5,5,5,4,0,5,2.5,2,5,4.5,5,4.5,6
