"";"ssec ";"sfree ";"tsec ";"tfree ";"institution_trust_5 ";"active_soc_media ";"finan ";"micronarratives ";"mainstream ";"micronarratives_ag ";"mainstream_ag ";"mainstreamlikes ";"microlikes ";"mainstreamdislikes ";"microdislikes ";"man_eff ";"man_acc "
"ssec";" 1.000   ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"sfree";" 0.871***";" 1.000   ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"tsec";" 0.157*  ";" 0.148   ";" 1.000   ";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"tfree";" 0.105   ";" 0.050   ";" 0.745***";" 1.000   ";"";"";"";"";"";"";"";"";"";"";"";"";""
"institution_trust_5";"-0.316***";"-0.353***";"-0.087   ";"-0.093   ";" 1.000   ";"";"";"";"";"";"";"";"";"";"";"";""
"active_soc_media";" 0.143   ";" 0.101   ";" 0.029   ";" 0.021   ";"-0.034   ";" 1.000   ";"";"";"";"";"";"";"";"";"";"";""
"finan";"-0.254***";"-0.208** ";"-0.256***";"-0.189*  ";" 0.199** ";"-0.143   ";" 1.000   ";"";"";"";"";"";"";"";"";"";""
"micronarratives";" 0.127   ";" 0.155*  ";" 0.130   ";" 0.153*  ";"-0.040   ";" 0.089   ";" 0.163*  ";" 1.000   ";"";"";"";"";"";"";"";"";""
"mainstream";"-0.116   ";"-0.099   ";" 0.109   ";" 0.211** ";" 0.302***";"-0.025   ";" 0.197*  ";" 0.478***";" 1.000   ";"";"";"";"";"";"";"";""
"micronarratives_ag";" 0.307***";" 0.350***";" 0.174*  ";" 0.153*  ";"-0.294***";"-0.001   ";"-0.088   ";" 0.564***";" 0.039   ";" 1.000   ";"";"";"";"";"";"";""
"mainstream_ag";"-0.221** ";"-0.218** ";" 0.147   ";" 0.224** ";" 0.427***";"-0.098   ";" 0.230** ";" 0.202** ";" 0.699***";"-0.060   ";" 1.000   ";"";"";"";"";"";""
"mainstreamlikes";"-0.150   ";"-0.113   ";" 0.033   ";" 0.034   ";" 0.374***";" 0.084   ";" 0.126   ";" 0.164*  ";" 0.356***";"-0.153*  ";" 0.400***";" 1.000   ";"";"";"";"";""
"microlikes";" 0.320***";" 0.352***";" 0.068   ";" 0.030   ";"-0.338***";" 0.171*  ";"-0.154*  ";" 0.314***";"-0.181*  ";" 0.449***";"-0.295***";" 0.046   ";" 1.000   ";"";"";"";""
"mainstreamdislikes";" 0.213** ";" 0.183*  ";" 0.008   ";"-0.039   ";"-0.229** ";"-0.021   ";"-0.099   ";" 0.005   ";"-0.351***";" 0.122   ";"-0.420***";"-0.274***";" 0.386***";" 1.000   ";"";"";""
"microdislikes";"-0.201** ";"-0.140   ";" 0.009   ";" 0.015   ";" 0.266***";"-0.016   ";" 0.088   ";"-0.115   ";" 0.137   ";"-0.323***";" 0.151   ";" 0.376***";"-0.257***";" 0.137   ";" 1.000   ";"";""
"man_eff";"-0.391***";"-0.428***";"-0.035   ";"-0.068   ";" 0.406***";"-0.012   ";" 0.184*  ";"-0.043   ";" 0.230** ";"-0.208** ";" 0.407***";" 0.268***";"-0.249** ";"-0.216** ";" 0.220** ";" 1.000   ";""
"man_acc";"-0.560***";"-0.602***";"-0.070   ";"-0.004   ";" 0.519***";"-0.027   ";" 0.178*  ";"-0.008   ";" 0.314***";"-0.287***";" 0.504***";" 0.294***";"-0.307***";"-0.267***";" 0.200** ";" 0.658***";" 1.000   "
