"";"ssec ";"sfree ";"tsec ";"tfree ";"institution_trust_5 ";"active_soc_media ";"finan ";"micronarratives ";"mainstream ";"micronarratives_ag ";"mainstream_ag ";"mainstreamlikes ";"microlikes ";"mainstreamdislikes ";"microdislikes ";"man_eff ";"man_acc "
"ssec";" 1.000   ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"sfree";" 0.720***";" 1.000   ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"tsec";" 0.102   ";" 0.033   ";" 1.000   ";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"tfree";" 0.078   ";" 0.016   ";" 0.693***";" 1.000   ";"";"";"";"";"";"";"";"";"";"";"";"";""
"institution_trust_5";"-0.004   ";"-0.075   ";" 0.001   ";"-0.007   ";" 1.000   ";"";"";"";"";"";"";"";"";"";"";"";""
"active_soc_media";"-0.010   ";"-0.066   ";" 0.141   ";" 0.151*  ";" 0.121   ";" 1.000   ";"";"";"";"";"";"";"";"";"";"";""
"finan";"-0.248** ";"-0.188*  ";"-0.095   ";"-0.125   ";" 0.131   ";" 0.169*  ";" 1.000   ";"";"";"";"";"";"";"";"";"";""
"micronarratives";" 0.117   ";" 0.071   ";" 0.118   ";" 0.141   ";"-0.083   ";" 0.063   ";"-0.070   ";" 1.000   ";"";"";"";"";"";"";"";"";""
"mainstream";"-0.062   ";"-0.171*  ";" 0.194*  ";" 0.156*  ";" 0.282***";" 0.081   ";" 0.095   ";" 0.355***";" 1.000   ";"";"";"";"";"";"";"";""
"micronarratives_ag";" 0.216** ";" 0.219** ";" 0.098   ";" 0.123   ";"-0.269***";" 0.036   ";" 0.014   ";" 0.722***";" 0.005   ";" 1.000   ";"";"";"";"";"";"";""
"mainstream_ag";"-0.092   ";"-0.242** ";" 0.190*  ";" 0.186*  ";" 0.355***";" 0.146   ";" 0.225** ";" 0.130   ";" 0.717***";"-0.110   ";" 1.000   ";"";"";"";"";"";""
"mainstreamlikes";"-0.102   ";"-0.168*  ";" 0.098   ";" 0.123   ";" 0.399***";" 0.171*  ";" 0.248** ";" 0.055   ";" 0.395***";"-0.147   ";" 0.522***";" 1.000   ";"";"";"";"";""
"microlikes";" 0.037   ";" 0.029   ";" 0.079   ";" 0.124   ";" 0.026   ";" 0.172*  ";" 0.169*  ";" 0.352***";" 0.005   ";" 0.399***";"-0.010   ";" 0.340***";" 1.000   ";"";"";"";""
"mainstreamdislikes";" 0.055   ";" 0.183*  ";"-0.027   ";"-0.027   ";"-0.283***";" 0.036   ";"-0.016   ";"-0.051   ";"-0.467***";" 0.114   ";"-0.520***";"-0.322***";" 0.167*  ";" 1.000   ";"";"";""
"microdislikes";"-0.155*  ";"-0.134   ";" 0.039   ";" 0.064   ";" 0.179*  ";" 0.118   ";" 0.101   ";"-0.350***";"-0.061   ";"-0.443***";" 0.192*  ";" 0.279***";"-0.236** ";" 0.080   ";" 1.000   ";"";""
"man_eff";"-0.243** ";"-0.378***";" 0.114   ";" 0.109   ";" 0.350***";" 0.170*  ";" 0.236** ";"-0.056   ";" 0.448***";"-0.247** ";" 0.577***";" 0.505***";" 0.010   ";"-0.421***";" 0.184*  ";" 1.000   ";""
"man_acc";"-0.266***";"-0.425***";" 0.169*  ";" 0.175*  ";" 0.423***";" 0.195*  ";" 0.133   ";"-0.045   ";" 0.440***";"-0.278***";" 0.640***";" 0.541***";" 0.049   ";"-0.467***";" 0.167*  ";" 0.734***";" 1.000   "
